{'id': '00010002', 'head_ver': 1, 'tail_ver': 2, 'length': 59.0, 'flow': '509.37'}
{'id': '00020001', 'head_ver': 2, 'tail_ver': 1, 'length': 59.0, 'flow': '565.24'}
{'id': '00020003', 'head_ver': 2, 'tail_ver': 3, 'length': 44.0, 'flow': '460.25'}
{'id': '00020008', 'head_ver': 2, 'tail_ver': 8, 'length': 72.0, 'flow': '263.63'}
{'id': '00020009', 'head_ver': 2, 'tail_ver': 9, 'length': 74.0, 'flow': '355.43'}
{'id': '00020010', 'head_ver': 2, 'tail_ver': 10, 'length': 137.0, 'flow': '109.54'}
{'id': '00020016', 'head_ver': 2, 'tail_ver': 16, 'length': 113.0, 'flow': '101.23'}
{'id': '00030002', 'head_ver': 3, 'tail_ver': 2, 'length': 44.0, 'flow': '473.58'}
{'id': '00030004', 'head_ver': 3, 'tail_ver': 4, 'length': 121.0, 'flow': '299.78'}
{'id': '00040003', 'head_ver': 4, 'tail_ver': 3, 'length': 121.0, 'flow': '325.59'}
{'id': '00040005', 'head_ver': 4, 'tail_ver': 5, 'length': 145.0, 'flow': '379.21'}
{'id': '00040010', 'head_ver': 4, 'tail_ver': 10, 'length': 59.0, 'flow': '660.28'}
{'id': '00040011', 'head_ver': 4, 'tail_ver': 11, 'length': 114.0, 'flow': '316.24'}
{'id': '00050004', 'head_ver': 5, 'tail_ver': 4, 'length': 145.0, 'flow': '465.19'}
{'id': '00050006', 'head_ver': 5, 'tail_ver': 6, 'length': 106.0, 'flow': '559.22'}
{'id': '00050012', 'head_ver': 5, 'tail_ver': 12, 'length': 101.0, 'flow': '454.00'}
{'id': '00060005', 'head_ver': 6, 'tail_ver': 5, 'length': 106.0, 'flow': '592.84'}
{'id': '00060007', 'head_ver': 6, 'tail_ver': 7, 'length': 96.0, 'flow': '515.99'}
{'id': '00070006', 'head_ver': 7, 'tail_ver': 6, 'length': 96.0, 'flow': '374.42'}
{'id': '00070013', 'head_ver': 7, 'tail_ver': 13, 'length': 86.0, 'flow': '680.77'}
{'id': '00080002', 'head_ver': 8, 'tail_ver': 2, 'length': 72.0, 'flow': '340.08'}
{'id': '00080015', 'head_ver': 8, 'tail_ver': 15, 'length': 47.0, 'flow': '265.36'}
{'id': '00090002', 'head_ver': 9, 'tail_ver': 2, 'length': 74.0, 'flow': '361.53'}
{'id': '00090017', 'head_ver': 9, 'tail_ver': 17, 'length': 62.0, 'flow': '427.99'}
{'id': '00100002', 'head_ver': 10, 'tail_ver': 2, 'length': 137.0, 'flow': '127.54'}
{'id': '00100004', 'head_ver': 10, 'tail_ver': 4, 'length': 59.0, 'flow': '603.93'}
{'id': '00100011', 'head_ver': 10, 'tail_ver': 11, 'length': 107.0, 'flow': '134.64'}
{'id': '00100017', 'head_ver': 10, 'tail_ver': 17, 'length': 46.0, 'flow': '718.07'}
{'id': '00110004', 'head_ver': 11, 'tail_ver': 4, 'length': 114.0, 'flow': '374.60'}
{'id': '00110010', 'head_ver': 11, 'tail_ver': 10, 'length': 107.0, 'flow': '160.22'}
{'id': '00110012', 'head_ver': 11, 'tail_ver': 12, 'length': 72.0, 'flow': '636.39'}
{'id': '00110017', 'head_ver': 11, 'tail_ver': 17, 'length': 122.0, 'flow': '602.29'}
{'id': '00110018', 'head_ver': 11, 'tail_ver': 18, 'length': 77.0, 'flow': '435.38'}
{'id': '00120005', 'head_ver': 12, 'tail_ver': 5, 'length': 101.0, 'flow': '422.63'}
{'id': '00120011', 'head_ver': 12, 'tail_ver': 11, 'length': 72.0, 'flow': '665.39'}
{'id': '00120013', 'head_ver': 12, 'tail_ver': 13, 'length': 143.0, 'flow': '411.12'}
{'id': '00120018', 'head_ver': 12, 'tail_ver': 18, 'length': 62.0, 'flow': '639.32'}
{'id': '00130007', 'head_ver': 13, 'tail_ver': 7, 'length': 86.0, 'flow': '743.34'}
{'id': '00130012', 'head_ver': 13, 'tail_ver': 12, 'length': 143.0, 'flow': '311.54'}
{'id': '00130014', 'head_ver': 13, 'tail_ver': 14, 'length': 41.0, 'flow': '481.59'}
{'id': '00130018', 'head_ver': 13, 'tail_ver': 18, 'length': 168.0, 'flow': '149.82'}
{'id': '00130025', 'head_ver': 13, 'tail_ver': 25, 'length': 182.0, 'flow': '242.89'}
{'id': '00140013', 'head_ver': 14, 'tail_ver': 13, 'length': 41.0, 'flow': '335.09'}
{'id': '00150008', 'head_ver': 15, 'tail_ver': 8, 'length': 47.0, 'flow': '317.18'}
{'id': '00150016', 'head_ver': 15, 'tail_ver': 16, 'length': 107.0, 'flow': '481.60'}
