Num,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,490.4,567.3,587.2,632.1,678.7,717.1,765.7,763.5,893.9,935.9
2,1243.9,1429.2,1533.9,1477.3,1642.7,1795.2,1863.2,1943.3,2072.5,2166.6
3,468.5,490.5,532.6,579.7,577.4,607.4,685.2,702.6,779.6,888.6
4,934.7,1027.0,1038.6,1168.6,1245.2,1301.7,1426.2,1471.7,1618.9,1594.0
5,460.3,502.2,521.0,540.6,543.5,633.9,624.8,716.7,786.8,760.6
6,692.9,744.8,790.0,885.6,881.6,961.5,984.2,1130.7,1210.6,1144.4
7,813.6,877.3,975.1,962.7,1058.0,1111.2,1188.2,1306.0,1396.9,1435.3
8,210.2,246.1,243.1,265.6,293.6,305.9,314.6,336.4,366.9,390.1
9,239.4,247.1,250.9,277.5,296.0,304.0,338.4,355.7,387.9,411.2
10,314.4,320.9,338.6,384.0,406.4,427.8,463.0,473.7,539.1,524.8
11,973.6,951.3,1083.2,1086.9,1208.6,1265.2,1326.3,1376.4,1581.6,1577.7
12,1147.8,1231.8,1335.0,1504.3,1596.7,1737.4,1828.1,1819.3,1918.7,2046.0
13,334.5,342.0,375.5,402.2,414.5,429.4,488.1,483.2,534.7,592.8
14,423.3,483.8,487.8,534.1,561.2,589.5,626.8,691.3,735.8,799.9
15,462.5,527.3,540.0,578.5,637.2,641.5,710.0,782.3,781.6,833.6
16,226.6,230.6,254.4,265.2,271.5,285.3,322.8,332.3,355.1,393.6
17,2010.0,2105.4,2364.1,2486.6,2512.7,2932.6,2960.5,3103.7,3310.0,3401.4
18,1038.8,1099.8,1192.8,1277.5,1269.1,1393.9,1479.9,1456.8,1583.4,1761.7
19,1090.1,1126.4,1159.2,1304.6,1284.4,1454.1,1569.0,1631.1,1770.4,1718.3
20,193.3,211.1,235.5,243.7,261.0,279.1,295.2,301.0,349.4,339.0
21,340.3,360.0,378.7,392.9,406.9,478.9,483.2,495.0,569.1,593.2
22,783.1,874.8,887.9,960.7,1051.0,1094.0,1186.0,1231.7,1400.8,1405.7
23,543.5,638.7,646.1,706.8,717.9,782.5,854.6,901.0,927.5,1068.0
24,649.7,665.0,766.5,745.6,842.4,940.2,929.6,1014.7,1108.5,1117.7
25,991.2,1079.1,1082.7,1210.9,1253.6,1404.1,1537.3,1502.8,1662.1,1689.6
