OD,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,0,544,175.9,43.7,11.4,6.3,12.1,81.7,27.4,8.1,27.3,14.5,2.5,4,64.3,9.8,81.6,15.9,63.6,6,9.5,15.2,51.1,23.1,14.8
2,500.8,0,1626.8,173.7,35.3,18.4,34.5,225.4,191.8,34.2,90.1,43.4,6.7,11.2,169,44,367.5,48,188.4,21.6,31.8,49.1,159.8,71.5,45
3,161.9,1624.7,0,209.2,32.8,16.5,29.2,59.6,139.5,31.7,75.5,35.9,5.2,8.5,63,23.1,289.6,36.8,88,10.8,21.5,36.1,89.5,50.5,35.4
4,42.4,183.3,220.7,0,145,45.7,67.1,24.9,84.9,196,399.4,139.1,14.1,20.8,37.5,23.4,610.7,123.6,67.3,11.6,42.6,92.5,97.4,85.9,74.3
5,10.7,36.1,33.3,141,0,177.9,134.9,6.7,12.5,15.4,243.6,297.4,26.1,34.5,11.2,5.4,101.6,129.5,21.1,3.3,16.3,47,34,46.5,67.3
6,6,19.2,17.1,45,178.6,0,507.3,3.9,6.3,6.5,89,152.1,57.1,71.7,6.8,3,47.8,82.1,12.8,2,9.4,27.4,20.9,31.3,57.2
7,14.6,46.1,39.4,85.8,176.1,663.2,0,9.8,14.9,13.9,175.6,273.8,414.8,763,17.7,7.4,109.5,199.9,33.8,5.3,24.4,70,56,90,189
8,68.5,202.1,53.4,21,5.8,3.3,6.7,0,19.1,4.3,15.1,7.7,1.2,2.2,224.8,10,59.5,8.9,107.4,6.9,7.1,10.2,55.8,17.4,9.8
9,25.9,196.1,143.4,81.8,12.5,6,11.1,21.8,0,25.9,39.6,16,2,3.7,29.5,33.9,391.8,17.9,50.5,9.3,15,21.6,58.1,28.3,16.9
10,8.1,36.1,33.8,195.5,15.7,6.4,10.7,5,26.6,0,68.2,19.6,2,3.1,8.2,7,467.2,20.5,17.2,3.1,11.8,22.6,26.5,22.1,16.2
11,23.9,85.2,71.7,358.4,224.9,80.8,123.6,16.1,36.6,61,0,739.1,29.8,42.4,28.8,18,517.6,761.2,63,11,84.4,344.4,117.8,196.5,224.4
12,14.1,46,37.9,140.1,308.9,156.3,217.8,9.1,16.4,19.4,825.1,0,65.4,78.2,16.7,8.2,174.3,1122.5,35.8,5.7,37.3,150.2,65.5,131.2,277.1
13,3.1,9.2,7.5,18.1,34.6,74.5,416,2,2.9,2.6,43.8,85.1,0,642.9,3.6,1.6,24.8,65.4,7.8,1.2,5.9,19.3,13.7,27.6,82.5
14,5.5,16.1,13,28.3,48,98.4,804,3.4,5,4.5,64.7,105.6,677.4,0,6.4,2.5,40.8,91.2,13.3,2.1,10.1,30.6,23.3,44.7,126
15,57.6,163.3,60,34.5,10.6,6.4,12.8,241.5,27.4,7.2,29.1,15.2,2.7,4.5,0,21.7,111.8,18.5,707.1,20.4,16.7,22.1,185.7,42.2,21.2
16,10.6,51,27.4,25.8,6.1,3.3,6.2,13.1,38.4,7.8,22,9.2,1.2,2,26.1,0,242.6,11.7,65,31.3,17.2,17.9,88.8,25.5,11.8
17,88,428,337,676,116.3,53.9,95.7,77.3,445,511.1,636.3,191.8,20.9,33,135,243.1,0,246.5,294.3,82,285.7,374.8,510.6,322.9,178.3
18,14.2,45.9,35.4,112.4,121.1,75.5,142.3,9.5,16.7,18.5,771,1018.5,45.2,60.3,18.5,9.6,203.3,0,42.9,6.9,60.4,352.6,86.6,243.6,597.7
19,51.3,165.7,77.3,56,18.2,10.9,22.3,105.3,43.6,14.2,58.7,29.7,5,8.2,639.9,49.6,221.8,39.3,0,79.3,44.7,51.5,912.9,101.3,42.1
20,5.9,23.3,11.8,12,3.5,2.1,4.2,8.3,9.9,3.1,12.8,5.8,0.8,1.5,23,29.2,76.4,7.7,97.8,0,14.4,12.8,202.8,22.8,8.8
21,8.9,32,21.5,40.6,15.8,9,18,8.2,14.7,11.2,89.9,35.6,4.2,7.2,17.6,14.9,247.4,63.5,51.1,13.5,0,276.6,166.3,234.8,59.9
22,14.4,50.3,36.9,89.6,46.8,27,53.3,11.6,21.6,21.8,371.3,144.9,14.2,21.8,23.5,15.6,328.5,375.1,60,12.1,280.1,0,150,524.4,243.5
23,46.6,158.8,88.7,92,32.7,20.2,42.2,61.3,56.3,24.4,123.6,61.4,9.6,16,189,76.2,434.2,89.3,1033.9,185.2,163.2,145.7,0,344.3,101.3
24,21.2,71,50,81,45,30.2,67.2,19.3,27.4,21.1,206.8,122.6,20.3,31.2,43.2,21.9,274.5,253,114.9,21.1,232.3,509.6,343.3,0,408.9
25,14.8,49,38.3,76.9,71.4,60.7,154.3,11.9,17.9,16.6,257.7,282.1,66.2,96.7,23.2,11.1,165.6,677.4,52.2,8.7,64.7,258.4,110.6,448.1,0
