Town,double_2025,double_2035,triple_2025,triple_2035,alpha
0,613.5845720268801,840.2604007628804,616.3605246771203,852.7942475776024,0.4
1,3677.92150495232,6107.47980152832,5086.281633505287,12466.439169843221,0.4
2,473.84882322432,672.8665491763198,560.879317678079,1065.8224180735958,0.4
3,3031.6370674483196,4828.31580536832,3972.0357668044808,9074.358417612799,0.4
4,715.3619531878403,1000.0649496678407,781.2924856217626,1297.7512930816104,0.4
5,864.6615005798401,1332.9625545318404,1106.2071072153606,2423.577566310403,0.4
6,1743.2211650355202,2657.1857069875205,2198.8488920268815,4714.413928857607,0.4
7,190.6591587536901,229.4714946872902,190.24703632524523,227.83562096621822,0.3
8,187.33367018487013,227.54751796767027,189.08667318763534,234.50586662150363,0.3
9,361.14066137832015,469.7324236471203,401.70395665866096,630.7438712394932,0.3
10,4212.010419041371,6506.184670816174,5845.542603425098,12990.307321074019,0.3
11,5258.402424753342,8403.690543282944,7794.851588959576,18471.840797121975,0.3
12,221.15997847758993,272.94021547518986,243.73873345199425,362.5640489960398,0.3
13,228.43372922442995,303.07466597562996,258.8854342057147,423.9492908503214,0.3
14,580.7265790490901,794.5332066026904,669.2211905198459,1145.8026337672209,0.3
15,163.88336871914004,197.9829709507401,187.57831884197012,292.0374158260553,0.3
16,11267.559438538481,18515.641314251683,16600.09929582425,39682.5597273554,0.3
17,2571.2974308779903,3983.2173538055913,3557.6091043230995,7898.270833092807,0.3
18,3038.4419724099303,4749.751861343131,4173.450632272667,9255.04133773705,0.3
19,143.84149280462998,170.35022698383,160.8854664363148,238.0043672157219,0.3
20,427.29262545084987,564.1375101788498,511.14463334732386,896.9786435638333,0.3
21,1540.4362023060303,2260.270431871231,1891.4687179290165,3653.654601027779,0.3
22,735.8035421556901,1020.2287921092905,863.1449083242456,1525.69605169672,0.3
23,913.6473149389501,1288.0504013269501,1101.9825626904756,2035.6260276059634,0.3
24,1832.3576244615806,2793.101653814781,2402.5462914383916,5056.401566610488,0.3
