Town,a,b,2025,2035
0,-2223.9545454545455,1.123030303030303,50.18,61.41
1,-3698.8527272727274,1.8751515151515152,98.33,117.08
2,-2004.1709090909098,1.0139393939393944,49.06,59.20
3,-2976.0181818181823,1.5054545454545456,72.53,87.58
4,-1956.043636363636,0.989090909090909,46.87,56.76
5,-2380.601818181818,1.2078787878787878,65.35,77.43
6,-2884.3981818181824,1.458787878787879,69.65,84.24
7,-1440.8636363636365,0.7290909090909092,35.55,42.84
8,-1429.3036363636368,0.7224242424242426,33.61,40.83
9,-1520.076363636364,0.7709090909090911,41.01,48.72
10,-3389.0854545454545,1.716969696969697,87.78,104.95
11,-3441.1490909090912,1.746060606060606,94.62,112.08
12,-1949.9181818181828,0.9854545454545459,45.63,55.48
13,-1846.9145454545458,0.9363636363636365,49.22,58.59
14,-1989.5145454545466,1.0096969696969702,55.12,65.22
15,-1454.9236363636362,0.7357575757575757,34.99,42.34
16,-4449.040000000003,2.260000000000001,127.46,150.06
17,-2778.84,1.4133333333333336,83.16,97.29
18,-2748.7181818181816,1.3987878787878787,83.83,97.82
19,-1620.7581818181816,0.8187878787878787,37.29,45.48
20,-1653.9054545454542,0.8369696969696968,40.96,49.33
21,-2582.030909090909,1.3072727272727271,65.20,78.27
22,-2252.470909090909,1.1406060606060606,57.26,68.66
23,-2231.976363636364,1.130909090909091,58.11,69.42
24,-2743.719999999999,1.3933333333333329,77.78,91.71
