Year,Town0,Town1,Town2,Town3,Town4,Town5,Town6,Town7,Town8,Town9,Town10,Town11,Town12,Town13,Town14,Town15,Town16,Town17,Town18,Town19,Town20,Town21,Town22,Town23,Town24
2010,65.3,138.2,66.4,97.8,62.9,91.1,94.7,48.3,44.4,56.4,121.8,132.0,61.4,68.3,78.1,46.5,181.1,119.4,120.8,49.9,55.6,88.8,78.9,80.2,109.5
2011,67.0,140.8,67.9,101.3,64.7,94.0,97.8,49.3,45.7,58.2,125.1,135.0,63.2,69.9,80.1,48.2,185.9,122.5,123.5,51.2,56.9,91.6,81.2,82.2,113.1
2012,69.4,144.1,69.8,104.2,66.6,96.1,100.2,50.8,46.9,59.9,128.9,139.6,64.8,72.3,81.5,49.2,191.6,125.3,127.3,52.6,59.1,93.4,83.8,84.3,116.3
2013,70.9,146.9,72.0,106.8,68.8,98.5,102.9,52.4,48.8,61.2,130.8,141.5,66.6,73.5,83.9,50.9,195.7,129.5,130.7,54.3,60.6,96.8,85.0,87.2,118.7
2014,73.1,151.7,73.8,109.6,70.5,101.1,105.6,54.0,50.1,63.0,133.0,145.8,68.0,75.5,86.0,52.1,201.0,132.0,132.6,55.4,61.9,98.1,87.0,89.1,121.3
2015,75.2,154.0,76.4,112.9,72.8,103.9,107.3,55.3,51.4,64.5,137.1,149.5,69.6,77.9,87.8,53.2,205.0,135.1,135.9,56.5,63.5,101.7,89.3,91.6,125.2
2016,76.9,159.3,78.2,115.6,74.6,105.6,110.1,56.7,52.9,67.0,140.4,153.3,70.8,79.4,90.5,55.1,209.0,139.6,140.3,58.0,66.0,104.0,91.4,93.8,127.1
2017,79.4,162.7,79.2,118.6,76.8,107.9,112.6,58.9,53.4,67.8,144.3,156.8,73.2,81.5,90.6,55.9,214.2,142.0,141.7,59.3,66.9,106.0,94.7,95.3,131.0
2018,81.3,166.9,82.1,121.9,78.5,110.9,115.5,60.0,55.7,69.7,146.3,161.3,74.8,82.7,93.6,57.4,217.6,144.3,147.9,60.5,69.8,109.5,96.1,97.7,132.9
2019,82.9,167.8,84.1,123.2,79.0,112.2,116.4,61.2,57.2,71.6,149.8,163.1,75.9,85.7,96.0,59.6,222.3,146.3,147.5,61.9,71.5,111.0,98.2,100.6,136.5
