Num,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,127.2,150.3,190.3,208.8,242.6,308.9,343.4,442.7,538.5,571.2
2,269.2,304.1,357.7,447.2,529.5,597.3,698.6,839.0,1016.4,1174.7
3,129.2,159.6,185.9,207.0,269.3,310.1,375.8,460.8,498.5,624.6
4,191.6,235.1,267.0,322.4,388.4,499.1,495.3,630.9,728.1,886.6
5,122.6,158.5,178.4,199.5,257.8,315.0,375.1,403.2,469.6,545.7
6,178.0,214.1,232.9,295.5,361.4,404.1,470.2,546.3,604.6,736.6
7,185.8,223.1,267.9,294.3,361.6,434.3,544.8,600.8,692.7,781.7
8,93.8,105.3,117.1,150.6,168.0,221.1,245.1,305.1,328.4,379.8
9,86.1,111.5,124.9,148.5,175.4,224.1,243.6,295.8,356.8,461.3
10,110.3,125.2,155.7,183.3,219.5,246.5,293.4,326.7,425.8,440.1
11,238.5,290.4,336.5,370.5,469.9,516.8,638.5,710.4,949.0,1063.1
12,257.5,323.5,373.9,445.5,500.8,598.6,746.2,849.6,1004.6,1318.6
13,120.4,148.3,175.8,212.6,244.2,282.2,334.9,422.0,473.3,520.5
14,133.9,164.5,203.7,225.6,266.6,333.0,375.0,450.7,544.0,629.8
15,153.0,166.5,202.1,244.5,296.1,360.3,444.9,446.1,548.5,628.4
16,90.8,105.4,132.5,157.3,187.3,211.2,262.2,305.2,383.5,398.6
17,353.5,434.5,528.8,621.0,721.5,826.8,1092.0,1201.1,1292.4,1688.1
18,234.7,280.5,329.7,397.2,463.3,524.9,653.7,805.0,943.0,1114.9
19,236.1,295.0,343.1,385.7,473.7,575.7,638.2,770.0,915.0,1163.7
20,97.6,118.8,139.6,157.3,189.7,225.2,255.4,299.7,349.1,439.4
21,108.5,120.0,141.6,186.9,206.6,241.6,269.4,353.4,385.9,519.0
22,172.9,203.0,237.0,272.4,325.7,379.3,497.9,563.8,721.0,757.4
23,154.1,175.5,204.7,254.5,296.0,336.1,433.3,504.4,585.7,756.4
24,156.4,192.5,215.8,264.2,328.4,371.5,456.5,512.9,638.2,692.0
25,215.4,247.1,299.8,341.4,445.2,505.9,551.8,726.1,844.1,1068.8
