Num,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,274.1,310.8,300.9,346.4,348.3,365.7,409.1,420.4,490.5,464.3
2,490.0,568.8,703.6,792.6,997.4,1055.9,1251.0,1661.0,1979.2,2291.9
3,194.4,215.7,217.2,227.4,262.3,285.8,280.7,306.8,324.6,363.3
4,602.5,683.8,784.9,909.1,1056.5,1147.8,1291.3,1506.8,1763.7,2010.0
5,293.9,314.5,354.7,344.0,395.7,438.1,468.3,459.7,528.9,544.7
6,227.5,265.6,295.7,297.9,343.6,376.5,440.7,453.7,524.6,603.0
7,497.4,514.2,566.2,631.6,718.3,767.4,908.2,1040.1,1016.2,1242.5
8,122.7,127.6,133.4,140.8,150.1,155.0,162.5,158.2,167.1,164.1
9,124.0,136.7,127.6,139.1,134.4,148.8,146.8,163.5,165.6,157.8
10,191.2,208.4,214.1,226.5,229.1,253.1,268.9,263.1,289.2,298.9
11,820.7,918.4,1144.5,1292.8,1489.7,1630.0,2102.6,2172.0,2427.9,3140.1
12,748.6,880.0,1078.3,1189.1,1566.3,1731.0,2131.3,2295.3,2973.5,3807.3
13,140.8,144.7,149.3,147.5,160.0,171.7,169.7,182.0,187.0,190.4
14,111.5,121.8,130.1,134.3,137.1,151.9,165.3,170.6,167.2,189.7
15,251.7,280.6,301.3,298.5,314.4,352.5,376.8,425.4,436.2,454.1
16,112.4,111.8,112.1,124.6,123.6,125.5,135.7,128.6,141.4,146.6
17,804.8,1065.6,1334.9,1813.0,2413.9,3044.5,3679.4,5145.3,6601.7,7415.5
18,508.0,585.9,630.9,775.8,842.6,1013.1,1210.0,1284.2,1624.2,1844.9
19,524.5,609.8,751.8,806.9,929.1,1085.5,1295.8,1591.9,2003.3,2076.4
20,104.3,106.6,103.4,114.2,116.6,114.4,114.2,124.8,121.2,131.7
21,223.5,242.0,244.9,259.3,265.9,294.8,283.5,318.5,308.8,366.3
22,443.4,539.7,593.0,628.1,690.3,755.5,853.1,966.9,1028.6,1147.0
23,297.6,322.5,343.3,354.9,395.1,421.0,477.4,517.0,551.2,565.9
24,342.1,371.6,401.6,423.8,470.9,493.9,550.3,625.4,671.8,694.7
25,386.7,458.5,512.4,623.7,695.3,800.0,884.8,1029.3,1155.4,1326.3
