Num,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,8559.2,9066.4,9413.6,9928.3,10325.3,10739.0,11264.2,11513.7,12099.7,12270.1
2,9534.6,10504.1,11560.7,12645.7,13922.2,14635.3,16005.3,17206.0,17839.4,19105.4
3,8631.5,9089.3,9568.1,9927.6,10413.4,10870.4,11403.3,11975.4,12252.9,12786.4
4,8806.7,9342.4,9948.8,10445.8,10977.4,11226.1,11938.4,12565.6,12667.7,13201.5
5,8614.7,8986.5,9390.2,9802.3,10128.4,10533.4,11189.7,11527.9,11701.3,12469.3
6,8907.6,9505.3,10205.0,10860.0,11361.4,11833.2,12644.9,13395.5,14020.6,14726.2
7,8975.5,9712.6,10357.0,11113.0,11796.8,12462.9,13234.5,13493.4,14586.5,15045.2
8,8234.1,8405.7,8537.5,8724.2,8836.0,9026.5,9156.1,9280.1,9450.4,9637.1
9,8316.4,8509.0,8721.6,9003.9,9151.0,9526.2,9620.9,9867.9,10150.9,10234.0
10,8444.4,8735.1,9048.5,9399.5,9558.5,9956.8,10351.1,10584.8,10798.9,11273.5
11,9256.0,10106.5,11108.3,11996.9,13054.7,13797.4,14596.9,15851.1,16703.5,17522.1
12,9390.2,10320.5,11264.0,12230.7,13013.9,14115.8,14762.0,15449.3,16252.4,17939.4
13,8366.3,8548.2,8761.2,9005.4,9243.5,9430.7,9730.1,10077.0,10280.6,10372.0
14,8540.6,8840.9,9229.8,9704.4,9989.1,10285.6,10857.4,11301.7,11725.6,11721.6
15,8571.5,9121.7,9532.1,10017.3,10447.1,10692.0,11159.3,11768.1,12355.5,12818.5
16,8216.8,8357.3,8519.5,8791.8,8897.9,9122.6,9275.3,9420.6,9544.1,9858.3
17,9917.6,11113.1,12267.9,13740.6,14839.2,16143.6,16970.1,17873.9,19934.6,21267.6
18,9175.7,10113.3,10800.9,11734.4,12378.7,13546.4,13948.6,14904.2,16135.4,16969.1
19,9439.1,10465.0,11262.5,12494.5,13180.4,14357.3,15029.4,16551.6,17462.6,18194.3
20,8190.5,8358.1,8494.3,8580.3,8699.1,8946.1,9129.5,9179.8,9389.2,9497.9
21,8373.3,8656.5,8906.6,9078.5,9287.2,9674.5,9856.2,10243.0,10483.6,10673.3
22,8939.4,9436.1,10126.1,10531.3,11294.7,11900.2,12274.2,13046.5,13306.2,14047.9
23,8540.7,8923.8,9368.3,9743.0,10070.7,10334.3,10783.6,11059.8,11318.6,11761.3
24,8830.1,9349.0,10115.0,10575.1,11200.1,11950.8,12297.5,13007.3,13516.6,14079.1
25,9369.9,10236.6,11230.4,12248.6,13362.5,13925.2,15256.4,16272.6,17058.0,18025.8
