Town,double_2025,double_2035,triple_2025,triple_2035,alpha
0,1276.3913085937497,1870.6940429687497,1219.8090332031227,1589.4468505859315,0.5
1,7756.891015625001,12685.144921875002,8178.83964843752,14782.477832031309,0.5
2,992.4799804687495,1480.1147460937489,1276.1732910156213,2890.237377929672,0.5
3,4240.77333984375,7035.193261718752,5821.091845703125,14890.305834960944,0.5
4,828.7380859374996,1162.5779296874991,846.6793945312478,1251.7567871093675,0.5
5,2205.5404296874995,3528.1810546874985,2920.4784179687426,7081.843408203087,0.5
6,2408.222167968749,3829.1850585937477,3062.1834472656114,7079.757299804626,0.5
7,290.12550839295994,346.6684762009599,279.5016124518395,298.6999763455982,0.4
8,267.6481512959999,331.20938777599986,295.03274879999987,454.85499468799986,0.4
9,583.0117147033596,790.3340212633593,633.5726750310383,1018.6244178943947,0.4
10,5625.0992418918395,9044.176206243837,7395.771607951353,17039.030222694368,0.4
11,8810.658769377278,14533.24264291328,11703.506423326717,27594.88811074559,0.4
12,479.85291873279994,621.4251519487998,482.7220318719992,634.3796324863974,0.4
13,628.7541183078401,837.7431814758404,639.107968860162,884.4923854848088,0.4
14,900.2181530726405,1239.5398636646414,958.7635452825632,1503.881180006414,0.4
15,243.36685614079988,301.09837870079974,267.0746204671989,408.14252671999515,0.4
16,29901.88236490752,51589.831781355526,43225.41878611971,111747.61744076814,0.4
17,4274.343716884479,6590.777301012478,4660.6853185331165,8335.168169062381,0.4
18,4752.551585648641,7464.168843120643,5355.856306114574,10188.181065830466,0.4
19,238.18124779520002,300.2622779392001,280.17865164800077,489.88691957760307,0.4
20,486.45916553216,623.43622332416,473.17014185984124,563.4342679552047,0.4
21,2499.2526245990402,3763.552191703041,3006.602896373762,6054.315540019215,0.4
22,1375.3675283148798,2062.0656372428793,1740.428790302718,3710.37254743039,0.4
23,1582.6356158156793,2279.8113009356784,1593.0605160755126,2326.8813051391735,0.4
24,3635.7160348262405,5804.902054154241,4841.174335733765,11247.728927948818,0.4
