Town,a,b,2025,2035
0,0.029573921087170475,33.554156476372896,51.95,69.53
1,0.024097652932304335,70.4846429219589,100.74,127.83
2,0.02681492728832454,33.999640055697725,50.57,65.88
3,0.026734056980309773,50.22710177115562,74.61,97.14
4,0.027405796774299086,32.20419028524517,48.31,63.31
5,0.023159670607152003,47.41127155565638,66.84,84.04
6,0.027085658424791895,48.03286008217695,71.72,93.69
7,0.026527479281793324,24.720270522519268,36.61,47.57
8,0.02795987765413517,22.912052955706027,34.65,45.65
9,0.0237524513024304,29.552502432200026,42.03,53.15
10,0.02500913455712041,62.255004635737365,90.18,115.44
11,0.02303493327268604,68.7127429228612,96.69,121.42
12,0.028121755511726212,31.04293632079719,47.06,62.10
13,0.023916740561394655,35.334708530745246,50.37,63.80
14,0.022764606927502647,40.1480905530708,56.27,70.48
15,0.02760762760681675,24.04168461589785,36.17,47.49
16,0.02194614401752086,93.8940684386814,130.03,161.56
17,0.02075239354608804,62.18081714458514,84.62,103.91
18,0.020397481643617647,63.0287785005163,85.33,104.42
19,0.029026301363546402,25.138766807882572,38.61,51.41
20,0.02639803188305842,28.53080560048514,42.17,54.73
21,0.025773787443150835,45.778505902322564,67.06,86.49
22,0.025574760239105054,40.30973778335915,58.87,75.79
23,0.024699862619348614,41.33047426903104,59.60,76.07
24,0.022101656821923648,57.12191077068065,79.29,98.66
