Num,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,0.00,387.56,64.05,15.16,1.00,0.33,0.17,40.87,9.86,2.65,3.46,1.18,0.04,0.03,26.79,3.94,30.40,1.18,31.05,2.46,1.66,2.16,8.61,1.64,0.58
2,356.82,0.00,613.55,74.97,4.39,1.30,0.68,107.49,78.75,14.36,16.18,5.74,0.18,0.22,67.62,20.68,171.82,5.53,97.65,10.34,7.74,10.37,31.94,7.87,3.19
3,58.96,612.79,0.00,60.53,3.22,0.97,0.43,13.38,32.83,8.17,9.18,3.32,0.10,0.13,11.70,5.74,79.52,2.78,21.34,2.64,2.91,4.56,8.67,2.91,1.57
4,14.72,79.09,63.84,0.00,55.49,14.39,5.69,5.61,30.01,107.75,154.33,51.16,1.52,1.51,7.16,8.90,323.19,33.91,18.60,4.16,12.26,31.91,13.80,12.10,12.37
5,0.95,4.49,3.24,53.95,0.00,108.36,28.51,0.37,1.62,4.13,76.86,129.15,5.84,5.83,0.55,0.71,24.11,35.23,1.61,0.40,2.42,10.64,1.57,3.95,12.22
6,0.31,1.36,1.01,14.15,108.86,0.00,288.28,0.14,0.54,1.39,30.20,89.96,29.87,32.18,0.18,0.28,8.61,28.67,0.70,0.17,1.20,6.47,0.71,2.68,16.08
7,0.21,0.91,0.58,7.28,37.21,376.81,0.00,0.10,0.33,0.79,20.88,68.88,140.23,255.48,0.17,0.21,5.52,30.09,0.52,0.14,1.12,5.91,0.64,3.46,29.81
8,34.20,96.35,12.00,4.73,0.32,0.12,0.07,0.00,5.27,1.07,1.53,0.53,0.02,0.02,85.88,3.60,18.67,0.60,54.47,2.77,1.33,1.51,10.58,1.53,0.46
9,9.35,80.50,33.70,28.91,1.62,0.52,0.24,5.95,0.00,9.23,7.51,2.44,0.07,0.08,7.41,12.56,160.09,2.40,18.29,3.52,3.66,5.10,9.80,3.39,1.49
10,2.65,15.13,8.78,107.46,4.21,1.34,0.61,1.25,9.44,0.00,23.19,6.12,0.17,0.18,1.83,2.94,258.10,5.36,5.93,1.30,3.99,8.48,4.87,4.06,2.81
11,3.02,15.32,8.70,138.53,70.98,27.44,14.68,1.64,6.98,20.77,0.00,312.47,5.11,5.28,2.76,4.26,186.79,259.56,10.34,2.66,22.73,128.83,12.61,35.72,60.10
12,1.15,6.10,3.50,51.57,134.14,92.45,54.78,0.63,2.49,6.03,348.82,0.00,21.89,20.77,1.03,1.51,55.04,515.16,4.13,1.06,9.64,61.18,5.62,26.07,111.77
13,0.05,0.25,0.14,1.95,7.72,38.92,140.63,0.03,0.10,0.22,7.49,28.51,0.00,251.17,0.05,0.08,2.09,15.89,0.19,0.06,0.50,3.12,0.32,2.19,24.04
14,0.04,0.32,0.19,2.05,8.09,44.12,269.21,0.03,0.11,0.26,8.03,28.04,264.73,0.00,0.06,0.07,2.32,17.06,0.21,0.07,0.57,3.52,0.36,2.81,30.82
15,23.94,65.34,11.15,6.61,0.52,0.17,0.13,92.26,6.84,1.60,2.80,0.94,0.04,0.04,0.00,7.75,33.46,1.22,405.96,8.97,3.39,3.48,41.35,4.71,1.12
16,4.27,23.97,6.79,9.80,0.80,0.31,0.18,4.71,14.23,3.26,5.25,1.69,0.06,0.06,9.30,0.00,130.09,2.18,37.83,18.79,6.49,6.43,25.54,5.58,1.71
17,32.76,200.15,92.51,357.71,27.57,9.70,4.82,24.25,181.77,282.42,229.69,60.56,1.77,1.88,40.37,130.38,0.00,71.64,142.54,45.89,124.81,174.24,132.29,81.84,39.21
18,1.06,5.29,2.68,30.83,32.93,26.36,21.42,0.64,2.22,4.81,262.92,467.42,11.00,11.25,1.22,1.79,59.09,0.00,5.75,1.39,16.59,145.79,8.76,57.55,249.55
19,25.07,85.85,18.73,15.47,1.40,0.60,0.34,53.43,15.74,4.91,9.64,3.42,0.12,0.13,367.34,28.86,107.41,5.25,0.00,59.98,17.33,16.07,386.31,24.42,4.77
20,2.42,11.13,2.83,4.28,0.42,0.18,0.11,3.30,3.78,1.30,3.07,1.08,0.04,0.05,10.08,17.56,42.77,1.54,73.87,0.00,6.46,5.25,77.92,6.60,1.50
21,1.54,7.77,2.91,11.72,2.34,1.16,0.83,1.55,3.55,3.76,24.25,9.16,0.35,0.41,3.55,5.61,108.11,17.42,19.78,6.08,0.00,127.75,41.17,77.03,16.56
22,2.05,10.61,4.68,30.92,10.61,6.40,4.49,1.70,5.10,8.15,138.88,59.02,2.29,2.51,3.72,5.61,152.76,155.11,18.71,5.00,129.36,0.00,32.95,201.31,106.22
23,7.86,31.75,8.60,13.05,1.51,0.69,0.48,11.61,9.50,4.49,13.22,5.26,0.22,0.24,42.05,21.91,112.52,9.05,437.50,71.19,40.42,32.01,0.00,64.15,10.32
24,1.51,7.82,2.88,11.40,3.82,2.59,2.58,1.69,3.28,3.86,37.60,24.35,1.62,1.96,4.83,4.80,69.58,59.81,27.71,6.12,76.18,195.65,64.00,0.00,139.66
25,0.58,3.48,1.70,12.81,12.97,17.09,24.34,0.56,1.57,2.90,69.05,113.78,19.26,23.64,1.23,1.61,36.40,282.78,5.92,1.48,17.88,112.75,11.28,153.06,0.00
