Year,Town0,Town1,Town2,Town3,Town4,Town5,Town6,Town7,Town8,Town9,Town10,Town11,Town12,Town13,Town14,Town15,Town16,Town17,Town18,Town19,Town20,Town21,Town22,Town23,Town24
2010,396.1,1060.8,388.8,802.3,366.0,584.3,577.0,194.9,181.5,275.7,1030.0,1097.1,269.2,318.3,389.7,161.9,1859.9,853.9,872.2,153.9,274.0,722.7,444.9,536.1,740.9
2011,455.0,1287.6,411.3,858.0,393.4,645.7,674.7,196.3,171.5,300.6,1173.1,1332.3,283.7,326.4,442.3,158.9,2519.2,999.6,1089.8,159.4,278.4,801.3,489.1,627.3,830.0
2012,498.1,1593.1,411.9,965.9,390.0,673.9,766.1,214.7,174.5,318.4,1301.2,1683.4,300.9,327.2,465.4,177.9,3148.4,1162.1,1197.9,164.2,306.6,815.8,525.1,673.7,950.3
2013,561.7,1875.2,458.0,1123.3,461.6,736.0,798.2,207.5,196.7,318.5,1580.2,1959.3,304.2,362.2,513.7,173.7,4380.9,1366.3,1389.6,171.9,325.3,943.4,557.2,677.7,1087.1
2014,592.4,2238.4,470.7,1246.5,443.9,810.1,878.7,224.0,193.5,367.3,1745.8,2477.0,306.0,388.9,488.5,178.5,5434.0,1649.9,1577.4,170.2,307.6,1096.9,618.1,759.6,1202.4
2015,661.1,2630.4,530.9,1509.5,472.5,904.1,986.7,238.9,202.2,362.9,2026.4,2804.5,323.5,402.8,576.0,180.6,6881.8,1903.7,1837.1,175.6,329.6,1221.5,671.8,835.4,1344.3
2016,722.2,3015.6,525.0,1665.1,540.2,970.9,1094.1,246.9,196.8,402.7,2497.9,3244.2,339.0,447.6,587.9,184.2,8295.5,2052.8,2278.6,179.9,359.5,1371.1,711.7,922.0,1617.0
2017,801.1,3786.6,594.2,1888.0,523.2,1045.0,1239.0,246.8,221.6,412.7,2575.6,3841.5,379.1,454.8,609.3,194.0,11671.3,2516.3,2577.6,184.2,393.1,1458.0,799.7,1091.6,1683.7
2018,891.0,4543.4,627.9,2191.9,628.6,1287.2,1373.4,249.1,226.9,432.1,3279.5,4980.9,397.2,507.4,678.0,209.8,14639.9,2711.3,2987.3,187.5,406.4,1540.0,870.6,1127.8,2154.1
2019,909.0,4734.1,712.8,2628.5,620.9,1429.9,1581.6,255.4,228.6,463.0,3665.5,5483.5,386.5,493.3,695.1,207.5,17626.2,2859.1,3088.5,206.3,394.4,1791.6,992.3,1140.1,2397.9
