Year,Town0,Town1,Town2,Town3,Town4,Town5,Town6,Town7,Town8,Town9,Town10,Town11,Town12,Town13,Town14,Town15,Town16,Town17,Town18,Town19,Town20,Town21,Town22,Town23,Town24
2010,32.8,71.2,34.1,49.4,31.5,46.6,47.5,25.4,22.4,29.7,63.6,69.0,30.7,34.5,39.4,24.5,94.1,61.5,62.0,25.0,28.8,46.2,40.0,41.8,55.1
2011,34.9,72.3,35.5,51.7,34.0,49.2,49.0,24.7,23.1,29.8,62.6,68.0,31.6,36.5,41.6,24.6,93.9,61.8,64.9,26.3,29.0,46.9,41.5,41.1,58.8
2012,35.9,72.7,34.9,52.6,34.0,49.9,50.7,25.8,24.4,31.4,65.9,72.7,32.9,37.6,40.9,25.6,99.1,65.9,65.4,26.3,30.0,48.0,43.4,44.0,60.3
2013,36.2,73.5,36.8,54.8,34.8,49.9,52.0,26.5,25.7,31.8,66.2,74.4,33.6,37.7,43.5,25.7,101.2,67.2,68.6,27.8,31.3,48.6,43.5,43.6,60.9
2014,38.1,79.1,37.9,56.8,35.2,52.7,55.0,27.6,26.0,32.6,68.1,76.1,35.2,38.3,44.1,27.0,100.8,68.3,67.5,28.0,31.2,50.8,44.0,46.8,63.8
2015,39.1,79.5,39.3,56.5,36.7,53.9,53.7,28.7,26.4,32.9,70.2,75.9,35.6,40.2,45.6,27.2,105.7,68.3,70.5,28.3,31.8,52.0,44.7,46.0,63.7
2016,40.3,83.4,39.4,59.2,38.5,54.4,57.8,28.6,26.8,34.1,73.8,78.9,37.1,41.5,46.7,27.8,107.4,70.8,70.2,30.2,33.9,54.3,46.9,48.5,66.6
2017,40.9,82.2,40.7,61.1,39.2,54.6,57.9,30.1,27.8,34.6,73.5,82.1,38.2,42.1,47.6,29.1,109.7,72.2,71.1,31.0,34.9,55.0,48.8,50.0,65.9
2018,42.4,86.9,42.5,63.2,41.0,57.3,59.1,30.3,28.3,35.4,75.7,83.7,39.2,42.4,47.2,29.9,114.0,73.9,77.0,31.4,34.9,54.8,49.6,49.4,67.6
2019,43.3,85.6,43.0,61.9,39.9,58.2,60.6,31.2,29.3,36.9,77.9,82.1,38.7,43.1,48.6,31.2,111.4,73.3,74.2,32.6,35.9,58.1,50.4,51.2,68.8
