Num,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,32.8,34.9,35.9,36.2,38.1,39.1,40.3,40.9,42.4,43.3
2,71.2,72.3,72.7,73.5,79.1,79.5,83.4,82.2,86.9,85.6
3,34.1,35.5,34.9,36.8,37.9,39.3,39.4,40.7,42.5,43.0
4,49.4,51.7,52.6,54.8,56.8,56.5,59.2,61.1,63.2,61.9
5,31.5,34.0,34.0,34.8,35.2,36.7,38.5,39.2,41.0,39.9
6,46.6,49.2,49.9,49.9,52.7,53.9,54.4,54.6,57.3,58.2
7,47.5,49.0,50.7,52.0,55.0,53.7,57.8,57.9,59.1,60.6
8,25.4,24.7,25.8,26.5,27.6,28.7,28.6,30.1,30.3,31.2
9,22.4,23.1,24.4,25.7,26.0,26.4,26.8,27.8,28.3,29.3
10,29.7,29.8,31.4,31.8,32.6,32.9,34.1,34.6,35.4,36.9
11,63.6,62.6,65.9,66.2,68.1,70.2,73.8,73.5,75.7,77.9
12,69.0,68.0,72.7,74.4,76.1,75.9,78.9,82.1,83.7,82.1
13,30.7,31.6,32.9,33.6,35.2,35.6,37.1,38.2,39.2,38.7
14,34.5,36.5,37.6,37.7,38.3,40.2,41.5,42.1,42.4,43.1
15,39.4,41.6,40.9,43.5,44.1,45.6,46.7,47.6,47.2,48.6
16,24.5,24.6,25.6,25.7,27.0,27.2,27.8,29.1,29.9,31.2
17,94.1,93.9,99.1,101.2,100.8,105.7,107.4,109.7,114.0,111.4
18,61.5,61.8,65.9,67.2,68.3,68.3,70.8,72.2,73.9,73.3
19,62.0,64.9,65.4,68.6,67.5,70.5,70.2,71.1,77.0,74.2
20,25.0,26.3,26.3,27.8,28.0,28.3,30.2,31.0,31.4,32.6
21,28.8,29.0,30.0,31.3,31.2,31.8,33.9,34.9,34.9,35.9
22,46.2,46.9,48.0,48.6,50.8,52.0,54.3,55.0,54.8,58.1
23,40.0,41.5,43.4,43.5,44.0,44.7,46.9,48.8,49.6,50.4
24,41.8,41.1,44.0,43.6,46.8,46.0,48.5,50.0,49.4,51.2
25,55.1,58.8,60.3,60.9,63.8,63.7,66.6,65.9,67.6,68.8
