Num,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,65.3,67.0,69.4,70.9,73.1,75.2,76.9,79.4,81.3,82.9
2,138.2,140.8,144.1,146.9,151.7,154.0,159.3,162.7,166.9,167.8
3,66.4,67.9,69.8,72.0,73.8,76.4,78.2,79.2,82.1,84.1
4,97.8,101.3,104.2,106.8,109.6,112.9,115.6,118.6,121.9,123.2
5,62.9,64.7,66.6,68.8,70.5,72.8,74.6,76.8,78.5,79.0
6,91.1,94.0,96.1,98.5,101.1,103.9,105.6,107.9,110.9,112.2
7,94.7,97.8,100.2,102.9,105.6,107.3,110.1,112.6,115.5,116.4
8,48.3,49.3,50.8,52.4,54.0,55.3,56.7,58.9,60.0,61.2
9,44.4,45.7,46.9,48.8,50.1,51.4,52.9,53.4,55.7,57.2
10,56.4,58.2,59.9,61.2,63.0,64.5,67.0,67.8,69.7,71.6
11,121.8,125.1,128.9,130.8,133.0,137.1,140.4,144.3,146.3,149.8
12,132.0,135.0,139.6,141.5,145.8,149.5,153.3,156.8,161.3,163.1
13,61.4,63.2,64.8,66.6,68.0,69.6,70.8,73.2,74.8,75.9
14,68.3,69.9,72.3,73.5,75.5,77.9,79.4,81.5,82.7,85.7
15,78.1,80.1,81.5,83.9,86.0,87.8,90.5,90.6,93.6,96.0
16,46.5,48.2,49.2,50.9,52.1,53.2,55.1,55.9,57.4,59.6
17,181.1,185.9,191.6,195.7,201.0,205.0,209.0,214.2,217.6,222.3
18,119.4,122.5,125.3,129.5,132.0,135.1,139.6,142.0,144.3,146.3
19,120.8,123.5,127.3,130.7,132.6,135.9,140.3,141.7,147.9,147.5
20,49.9,51.2,52.6,54.3,55.4,56.5,58.0,59.3,60.5,61.9
21,55.6,56.9,59.1,60.6,61.9,63.5,66.0,66.9,69.8,71.5
22,88.8,91.6,93.4,96.8,98.1,101.7,104.0,106.0,109.5,111.0
23,78.9,81.2,83.8,85.0,87.0,89.3,91.4,94.7,96.1,98.2
24,80.2,82.2,84.3,87.2,89.1,91.6,93.8,95.3,97.7,100.6
25,109.5,113.1,116.3,118.7,121.3,125.2,127.1,131.0,132.9,136.5
