Town,a,b,2025,2035
0,-3937.7672727272743,1.9915151515151521,95.05,114.97
1,-6947.567272727275,3.524848484848486,190.25,225.50
2,-3916.1618181818176,1.9812121212121208,95.79,115.60
3,-5682.023636363639,2.875757575757577,141.39,170.14
4,-3740.1581818181817,1.892121212121212,91.39,110.31
5,-4675.287272727275,2.371515151515153,127.03,150.75
6,-4832.267272727272,2.451515151515151,132.05,156.57
7,-2945.083636363638,1.48909090909091,70.33,85.22
8,-2773.3127272727284,1.4018181818181823,65.37,79.39
9,-3302.1163636363635,1.6709090909090907,81.47,98.18
10,-6094.549090909094,3.092727272727274,168.22,199.15
11,-7044.585454545459,3.570303030303032,185.28,220.98
12,-3201.985454545456,1.6236363636363642,85.88,102.11
13,-3736.2290909090916,1.892727272727273,96.54,115.47
14,-3853.0636363636363,1.9557575757575758,107.35,126.90
15,-2749.1763636363635,1.3909090909090909,67.41,81.32
16,-8949.59454545455,4.543030303030306,250.04,295.47
17,-6112.570909090911,3.100606060606062,166.16,197.16
18,-6155.303636363639,3.122424242424244,167.61,198.83
19,-2615.3890909090906,1.326060606060606,69.88,83.14
20,-3479.898181818183,1.7587878787878792,81.65,99.24
21,-4945.927272727274,2.5048484848484853,126.39,151.44
22,-4233.458181818182,2.145454545454546,111.09,132.54
23,-4419.8381818181815,2.2387878787878783,113.71,136.10
24,-5788.481818181819,2.934545454545455,153.97,183.32
